"ID";"Nome";"Logradouro";"Município";"UF";"Percentual.de.Execução";"classificação_tb";"total_repassado";"Empresa.Contratada"
1014653;"Res. Recanto Universitário";"Rua 05";"Imperatriz";"MA";13,02;"atrasada";257870,682749321;"(07477752000197) CONSTRUTORA CAICARA LTDA"
1014660;"PROINFANCIA";"RUA PROJETADA";"Catuji";"MG";0;"atrasada";272280,815589103;"(05547572000109) JORGI - PROJETOS E CONSTRUCOES LTDA"
1014669;"PAC 2 - CRECHE/PRÉ-ESCOLA  001";"Rua Teopompo de Almeida";"Joaíma";"MG";0;"atrasada";272280,815589103;"(25320870000179) FM Engenharia Ltda"
1015196;"Loteamento Camaragibe - Passo de Camaragibe - AL";"Rua 03, s/nº";"Passo de Camaragibe";"AL";47,22;"atrasada";532656,129881876;"(19037895000167) H L CONSTRUCOES E SERVICOS LTDA - EPP"
1015197;"Engenho Velho - Passo de Camaragibe - AL";"Rua João Leocádio Nogueira";"Passo de Camaragibe";"AL";95,88;"atrasada";778575,667180006;"(19037895000167) H L CONSTRUCOES E SERVICOS LTDA - EPP"
1015215;"Cruz - Anapurus - MA";"Povoado Cruz";"Anapurus";"MA";66,98;"atrasada";591906,464918633;"(14526278000101) MOINHO LOGISTICA & EMPREENDIMENTOS LTDA - ME  - ME"
1015221;"UI TIBURCIO PEREIRA - Apicum-Açu - MA";"RUA DA ESCOLA";"Apicum-Açu";"MA";73,49;"atrasada";554822,472864536;"(14712112000180) CONSTRUTORA DIPLOMATA LTDA - EPP"
1015223;"UI Antonio Barbosa - Apicum-Açu - MA";"Rua da Escola";"Apicum-Açu";"MA";63,29;"atrasada";554822,472864536;"(07806312000136) PEREIRA & NASCIMENTO LTDA"
1015225;"UE SANTA TEREZA - Apicum-Açu - MA";"Travessa da rua principal";"Apicum-Açu";"MA";63,63;"atrasada";687979,865880932;"(07806312000136) PEREIRA & NASCIMENTO LTDA"
1015226;"UE NOSSA SENHORA DO ROSÁRIO - Apicum-Açu - MA";"RUA PROJETADA";"Apicum-Açu";"MA";62,45;"atrasada";554822,472864536;"(14712112000180) CONSTRUTORA DIPLOMATA LTDA - EPP"
